Variable	House	Question																																							
CARSPOL1	BSA	"In general, do you think that air pollution caused by cars is extremely dangerous, very dangerous, somewhat dangerous, not very dangerous, or not dangerous at all?"																																							
CARTAXHI	BSA	"Please tick one box for each statement below to show how much you agree or disagree with it. For the sake of the environment, car users should pay higher taxes."																																							
CENSOR	BES	Please tick one box for each statement below to show how much you agree or disagree with it. Censorship of films and magazines is necessary to uphold moral standards.																																							
CENSOR	BSA	Please tick one box for each statement below to show how much you agree or disagree with it. Censorship of films and magazines is necessary to uphold moral standards.																																							
CHOPPWOM	BES	"And now I want to ask about some changes that have been happening in Britain over the years. For each one I read out, please use this card to say whether you think it has gone too far or not far enough: How about attempts to give equal opportunities to women in Britain?"																																							
CHOPPWOM	BSA	"Now I want to ask about some changes that have been happening in Britain over the years. For each one, please tell me whether you think it has gone too far, or not gone far enough: How about attempts to give equal opportunities to women in Britain?"																																							
CHOPPWOM	GALLUP	"Now we would like your views on some of the general changes that have been taking place in Britain over the last few years. Now using one of the answers on this card, how do you feel about: Attempts to ensure equality for women?"																																							
CHRGTDEM	BES	"I want to ask about some changes that have been happening in Britain over the years. For each one I read out can you say whether you think it has gone too far , not gone far enough , or is it about right: The right to have protest marches and demonstrations?"																																							
CHRGTDEM	BSA	"The right of people to go on protest marches and demonstrations? Has it gone too far, or not far enough?"																																							
CLASSSTR	GALLUP	There used to be a lot of talk in politics about the 'class struggle'. Do you think there is a class struggle in this country or not?																																							
CLOSEEUR	ICM	Agree/disagree with statement: Britain should have a closer relationship with the European Union even if this means some loss of sovereignty.																																							
COMINFLU	BES	"I am going to read out a list of things that some people believe a Government should do. For each one you can say whether you feel it is very important that it should be done, fairly important that it should be done, fairly important that it should not be done, very important that it should not be done, or it doesn't matter either way. Taking tougher measures to prevent Communist influence in Britain. "																																							
COMINFLU	GALLUP	"I am going to read out a list of things that some people believe a Government should do. For each one you can say whether you feel it is very important that it should be done, fairly important that it should be done, fairly important that it should not be done, very important that it should not be done, or it doesn't matter either way. Taking tougher measures to prevent Communist influence in Britain. "																																							
COMMKT1	NOP	Do you approve or disapprove of Britain joining the Common Market?																																							
COMMKT2	GALLUP	"If the British Government were to decide that Britain's interests would best be served by joining the European Common Market, would you approve or disapprove?"																																							
COMMKT3	GALLUP	Do you approve or disapprove of the Government applying for membership of the European Common Market?																																							
COMMKT4	GALLUP	Do you consider we were right or wrong to join the Common Market?																																							
COMMKT5	BES	"If the question of going into the Common Market comes up again, do you think that Britain should go in, stay out, or don't you have an opinion on that? "																																							
COMMKT6	GALLUP	On the facts as you know them as present are you for or against Britain joining the Common Market?																																							
COMMKT7	GALLUP	"If an opportunity occurs for Britain to apply to join the Common Market would you like to see us try, or drop the idea altogether?"																																							
COMMKT8	NOP	"Generally speaking, do you think being a member of the Common Market has been a good thing for Britain or a bad thing for Britain?"																																							
COMPREH	BES	"I am going to read out a list of things that some people believe a Government should do. For each one you can say whether you feel it is very important that it should be done, fairly important that it should be done, fairly important that it should not be done, very important that it should not be done, or it doesn't matter either way. Establishing comprehensive schools in place of grammar schools throughout the country."																																							
COMPREH	GALLUP	"I am going to read out a list of things that some people believe a Government should do. For each one you can say whether you feel it is very important that it should be done, fairly important that it should be done, fairly important that it should not be done, very important that it should not be done, or it doesn't matter either way. Establishing comprehensive schools in place of grammar schools throughout the country."																																							
COMPSCH	NOP	"Are you in favour of comprehensive schools, or do you think it is better to have separate grammar and secondary schools?"																																							
CONCERN	BSA	Which do you think is of most concern to you and your family: Inflation or unemployment?																																							
CONTROLS	GALLUP	Which comes nearest to your opinion about controls in trade and industry?																																							
CONTROL2	GALLUP	"Do you think that there should be more, less or about the same amount of government control of industry as at present?"																																							
CRIMEHR	BES	Please tick one box on each line to show how much you agree or disagree with each of these statements. Violent criminals deserve to be deprived of some of their human rights.																																							
CRIMELIB	BES	"Some people think that reducing crime is more important than protecting the rights of people accused of committing crimes. Other people think that protecting the rights of accused people is more important than reducing crime. On the 0-1 scale below, where would you place your own view?"																																							
CRIME1	GALLUP	"There has been a great deal of concern in this country over the increase in crime and violence. Here is a list of possible causes. Obviously some are more important than others. I would like you to go down the list and say for each one whether you think it a very important cause of crime and violence, fairly important or of little importance. General breakdown in respect for authority, law and order. "																																							
CRIME2	GALLUP	"There has been a great deal of concern in this country over the increase in crime and violence. Here is a list of possible causes. Obviously some are more important than others. I would like you to go down the list and say for each one whether you think it a very important cause of crime and violence, fairly important or of little importance. Laws too lenient and not letting the police do their job."																																							
CRIME3	GALLUP	"There has been a great deal of concern in this country over the increase in crime and violence. Here is a list of possible causes. Obviously some are more important than others. I would like you to go down the list and say for each one whether you think it a very important cause of crime and violence, fairly important or of little importance. Poverty and poor housing."																																							
CRIME4	GALLUP	"There has been a great deal of concern in this country over the increase in crime and violence. Here is a list of possible causes. Obviously some are more important than others. I would like you to go down the list and say for each one whether you think it a very important cause of crime and violence, fairly important or of little importance. Level of unemployment."																																							
CRIMREH	BES	Please indicate whether you agree or disagree with each of the following statements. Convicted criminals need to be rehabilitated rather than punished.																																							
DAMLIVES	BSA	Please tick one box for each statement to show how much you agree or disagree with it. Cutting welfare benefits would damage too many people's lives.																																							
DEATHAB1	GALLUP	Should the death penalty be abolished altogether or not?																																							
DEATHAB2	GALLUP	"In this country most people convicted of murder are sentenced to death. Do you agree with this, or do you think that the death penalty should be abolished?  "																																							
DEATHAPP	BSA	"Please tick one box for each statement to show how much you agree or disagree with it. For some crimes, the death penalty is the most appropriate sentence."																																							
DEATHNEV	BES	"Please indicate whether you agree or disagree with each of the following statements. The death penalty, even for very serious crimes, is never justified."																																							
DEATHPEN1	BES	Would you like to see the death penalty kept or abolished?																																							
DEATHPEN2	BES	"Please say whether you agree or disagree with each of these statements, or say if you are not sure either way. Britain should bring back the death penalty."																																							
DEATHPEN2	BSA	"Please say whether you agree or disagree with each of these statements, or say if you are not sure either way. Britain should bring back the death penalty."																																							
DEATHPEN3	BEPS	"Please say whether you agree or disagree with each of these statements, or say if you are not sure either way. Britain should bring back the death penalty."																																							
DEATHPEN3	BES	"I am going to read out a list of things that some people believe a Government should do. For each one you can say whether you feel it is very important that it should be done, fairly important that it should be done, fairly important that it should not be done, very important that it should not be done, or it doesn't matter either way. Bringing back the death penalty."																																							
DEATHPEN3	GALLUP	"I am going to read out a list of things that some people believe a Government should do. For each one you can say whether you feel it is very important that it should be done, fairly important that it should be done, fairly important that it should not be done, very important that it should not be done, or it doesn't matter either way. Bringing back the death penalty."																																							
DEATHPEN4	GALLUP	Do you think the death penalty should or should not be introduced for: Murder of members of the army and police forces?																																							
DEATHPEN5	GALLUP	Do you think the death penalty should or should not be introduced for: Terrorist murders?																																							
DEATHPEN6	GALLUP	Do you think the death penalty should or should not be introduced for: Murdering a woman following a sexual assault?																																							
DEATHPEN7	GALLUP	Do you think the death penalty should or should not be introduced for: Murdering a man who surprises him breaking into a premises?																																							
DEATHPEN8	GALLUP	Do you think the death penalty should or should not be introduced for: Murder by someone while under the influence of alcohol?																																							
DEATHPEN9	GALLUP	Do you think the death penalty should or should not be introduced for: Murder by someone while suffering from insanity or some serious mental disease?																																							
DEATHPEN10	GALLUP	Do you think the death penalty should or should not be introduced for: Murdering someone as a result of considerable provocation?																																							
DEATHPEN11	GALLUP	Do you think the death penalty should or should not be introduced for: Murdering someone just for the fun of it?																																							
DEATHPEN12	GALLUP	Do you think the death penalty should or should not be introduced for: Child rape?																																							
DEATHPEN13	GALLUP	Do you think the death penalty should or should not be introduced for: Rape?																																							
DEFENCE	BES	"Do you think the government should or should not do the following things, or doesn't it matter either way? Spend less on defence?"																																							
DEFENCE	BSA	Please tick one box for each statement below to show whether or not you think the government should: Spend less on defence.																																							
DEFENSE	GALLUP	"Do you think the government is spending too much, too little, or about the right amount on: Defence?"																																							
DIFFSNEC	BSA	Do you agree or disagree with each of these statements? Large differences in income are necessary for Britain's prosperity.																																							
DIVORCE	GALLUP	"What's your attitude towards divorce: It should not be allowed at all, it should be easier than at the present time, it should be more difficult than at present?"																																							
DOLE	BSA	Opinions differ about the level of benefits for the unemployed. Which of these two statements comes closest to your own opinion? Benefits for the unemployed are too low and cause hardship or Benefits are too high and discourage people from finding jobs.																																							
DOLEFIDL	BSA	Please tick one box for each statement below to show how much you agree or disagree with it. Most people on the dole are fiddling in one way or another.																																							
ECPOLICY	BSA	"Do you think Britain's long-term policy should be to leave the European Union, to stay in the EU and try to reduce its powers, to leave things as they are, to stay in the EU and try to increase its powers, or, to work for the formation of a single European government?"																																							
ECGBCLSE	BSA	"As a member state, would you say that Britain's a relationship with the European Community should be closer, less close, or is it about right?"																																							
ECOHELP2	BSA	Here are a number of policies that might help Britain’s economic problems. As I read them out will you tell me whether you would support such a policy or oppose it? Control of prices by legislation.																																							
ECOHELP3	BSA	Here are a number of policies that might help Britain’s economic problems. As I read them out will you tell me whether you would support such a policy or oppose it? Reducing the level of Government spending on health and education.																																							
ECOHELP4	BSA	Here are a number of policies that might help Britain’s economic problems. As I read them out will you tell me whether you would support such a policy or oppose it? Introducing import controls																																							
ECOHELP5	BSA	Here are a number of policies that might help Britain’s economic problems. As I read them out will you tell me whether you would support such a policy or oppose it? Increasing Government subsidies for private industry.																																							
ECOHELP6	BSA	Here are a number of policies that might help Britain’s economic problems. As I read them out will you tell me whether you would support such a policy or oppose it? Devaluation of the pound.																																							
ECOHELP7	BSA	Here are a number of policies that might help Britain’s economic problems. As I read them out will you tell me whether you would support such a policy or oppose it? Reducing Government spending on defence.																																							
ECOHELP8	BSA	Here are a number of policies that might help Britain’s economic problems. As I read them out will you tell me whether you would support such a policy or oppose it? Government incentives to encourage job sharing or splitting.																																							
ECOHELP9	BSA	Here are a number of policies that might help Britain’s economic problems. As I read them out will you tell me whether you would support such a policy or oppose it? Government to set up construction projects to create more jobs.																																							
ECOHELPA	BSA	Here are a number of policies that might help Britain’s economic problems. As I read them out will you tell me whether you would support such a policy or oppose it? Government action to cut interest rates.																																							
ECOHELPB	BSA	Here are a number of policies that might help Britain’s economic problems. As I read them out will you tell me whether you would support such a policy or oppose it? Government controls on hire purchase and credit.																																							
ECOHELPC	BSA	Here are a number of policies that might help Britain’s economic problems. As I read them out will you tell me whether you would support such a policy or oppose it? Government controls to cut down goods from abroad.																																							
ECOSOLUT	NOP	"If, in order to solve Britain's economic problems, you had to choose between  a cut in everyone's living standards or a slight rise in unemployment, which would you choose?"																																							
ECUVIEW	BSA	And here are three statements about the future of the pound in the European Community. Which one comes closest to your view? 1) Replace the pound by a single currency 2) Use both the pound and a new European currency in Britain 3) Keep the pound as the only currency in Britain.																																							
EDUC	GALLUP	"Do you think the government is spending too much, too little, or about the right amount on: Education?"																																							
EEC	GALLUP	Now a few questions about Britain's relationships with other countries. Do you think Britain should continue to be a member of the EEC - the Common Market - or should it withdraw?																																							
EMPIRE	BES	"Do you think Britain gave up her Empire too fast, or not?"																																							
ENVBUS	MORI	"Agreement with statement: ""British companies do not pay enough attention to their treatment of the environment"""																																							
ENVCAR	ICM	The government should give a higher priority to environmental policy even if it means penalising car drivers.																																							
ENVJOBS	BES	Please tick one box on each line to show how much you agree or disagree with each of these statements: We worry too much about the environment today and not enough about people’s jobs.																																							
ENVPRICE	ICM	The Government should give a higher priority to environmental policy even if this means higher prices for some goods?																																							
ENVTAX	WVS	"I am now going to read out some statements about the environment. For each one read out, can you tell me whether you agree strongly, agree, disagree or strongly disagree? I would agree to an increase in taxes if the extra money were used to prevent environmental pollution."																																							
EQUOPP	ESS	Now I will briefly describe some people. Please listen to each description and tell me how much each person is or is not like you. Use this card for your answer. She/he thinks it is important that every person in the world should be treated equally. She/he believes everyone should have equal opportunities in life																																							
ETHNCAID	BSA	How much you agree or disagree with the following statement? Ethnic minorities should be given government assistance to preserve their customs and traditions 																																							
EUCONREF	BSA	How do you think you would vote in a referendum on the proposed new European constitution? Would you vote in favour of Britain adopting the new constitution or against?																																							
EUFTF	ESS	"Now thinking about the European Union, some say European unification should go further. Others say it has already gone too far. Using this card, what number on the scale best describes your position?"																																							
EUGOOD	GALLUP	"Generally speaking, do you think that Britain's membership of the Common Market (European Union) is a good thing, a bad thing or neither good or bad? "																																							
EUMEMB	MORI	"If there were a referendum now on whether Britain should stay in or get out of the European Union, how would you vote?"																																							
EUMEMB2	BES	"Overall, do you approve or disapprove of Britain's membership in the European Union?"																																							
EUMEMB3	BHPS	"Generally speaking, do you think that Britain's membership of the European Union is a good thing, a bad thing, or is it neither good nor bad?"																																							
EUMEMB4	BHPS	"Taking everything into consideration, would you say that Britain has on balance benefited or not from being a member of the European Union?"																																							
EUMEMB5	BHPS	"Do you think Britain's long-term EU policy should be? 1) Leave the EU 2) Stay in, cut EU power 3) Leave things as they are 4) Stay in, more EU power 5) Form single EU government.  "																																							
EURO1	ICM	"If there were to be a referendum, would you vote to join the single European currency or vote not to join?"																																							
EURO2	MORI	"If there were a referendum now on whether Britain should be part of a Single European Currency, how would you vote?"																																							
EURO3	MORI	"In a referendum, would you vote for or against Britain replacing the pound sterling with the Single European Currency?"																																							
EURO4	BES	"Thinking of the Single European Currency (Euro), which of the following statements on this card would come closest to your own view? Definitely join as soon as possible, join if and when the economic conditions are right, stay out for at least the ne ... "																																							
EURO5	MORI	Which of the following best describes your own view of British participation in the single currency? 																																							
EUROREF	BSA	"If there were a referendum on whether Britain should join the single European currency, the Euro, how do you think you would vote? Would you vote to joint the Euro, or not to join the Euro? IF 'would not vote', PROBE: If you did vote, how would you v ..."																																							
FALSECLM	BSA	I will read two statements. For each one please say whether you agree or disagree? Strongly or slightly? a) Large numbers of people these days falsely claim benefits																																							
FREEEQU	WVS	"Which of these two statements comes closest to your own opinion? A. I find that both freedom and equality are important. But if I were to choose one or the other, I would consider personal freedom more important, that is, everyone can live in freedom and develop without hinderance B. Certainly both freedom and equality are important. But if I were to choose one or the other, I would consider equality more important, that is, that nobody is underprivileged and that social class differences are not so strong."																																							
FREEHMS	ESS	"Using this card, please say to what extent you agree or disagree with each of the following statements. Gay men and lesbians should be free to live their own life as they wish."																																							
FOXHUNT	BSA	Please tick one box for each statement below to show how much you agree or disagree with it. Fox hunting should be banned by law.																																							
GAYSEX	BES	Please tick one box for each statement below to show how much you agree or disagree with it. Homosexual relations are always wrong.																																							
GAYSEX	BSA	Please tick one box for each statement below to show how much you agree or disagree with it. Homosexual relations are always wrong.																																							
GAYSEX2	BEPS	Please tick one box for each statement below to show how much you agree or disagree with it. Homosexual relations are always wrong.																																							
GAYSEX3	BHPS	Please tick one box for each statement below to show how much you agree or disagree with it. Homosexual relations are always wrong.																																							
GINCDIF	ESS	"Using this card, please say to what extent you agree or disagree with each of the following statements. The government should take measures to reduce differences in income levels."																																							
GOVECON3	BSA	Here are some things the government might do for the economy. Please show which actions you are in favour of and which you are against. Cuts in government spending.																																							
GOVECON4	BSA	Here are some things the government might do for the economy. Please show which actions you are in favour of and which you are against. Government financing of projects to create new jobs.																																							
GOVECON5	BSA	Here are some things the government might do for the economy. Please show which actions you are in favour of and which you are against. Less government regulation of business.																																							
GOVECON6	BSA	Here are some things the government might do for the economy. Please show which actions you are in favour of and which you are against. Support for industry to develop new products and technology.																																							
GOVECON7	BSA	Here are some things the government might do for the economy. Please show which actions you are in favour of and which you are against. Supporting declining industries to protect jobs.																																							
GOVECON8	BSA	Here are some things the government might do for the economy. Please show which actions you are in favour of and which you are against. Reducing the working week to create more jobs.																																							
GOVEDSP	BES	"Do you think the government should or should not do the following things, or doesn't it matter either way? Spend more money on education?"																																							
GOVENVIR	BSA	"Please tick one box for each statement below to show how much you agree or disagree with it. The government should do more to protect the environment, even if it leads to higher taxes."																																							
GOVHAND	BES	"Please say whether you agree or disagree with each of these statements, or say if you are not sure either way. Too many people these days like to rely on government handouts."																																							
GOVHELP4	BSA	"Please tick one box on each line to show your views on government help for industry. Remember that if you say 'definitely' or 'probably', it might require an increase in income tax to pay for it. Do you think the government should ... ... help indust ..."																																							
GOVINVEST	ICM	Agree/disagree with statement: The economy would be stronger if the government borrowed money and used it for investment.																																							
GOVJOB	BSA	Please tick one box for each statement to show how much you agree or disagree with it. It is government's responsibility to provide a job for everyone who wants one.																																							
GOVJOB	GALLUP	Would you please tell me for each of the following statements how much you agree or disagree? It is the Government's responsibility to provide a job for everyone who wants one.																																							
GOVJOBS	BES	"Using this card, please say whether you agree or disagree with each of these statements, or say if you are not sure either way. The government should spend more money to create jobs"																																							
GOVJOBS2	BHPS	People have different views about society. I'm going to read out some things people have said about Britain today and I'd like you to tell me which answer off the card comes closest to how you feel about each statement. It is the government's responsibility to provide a job for everyone who wants one																																							
GOVNHSSP	BES	"Do you think the government should or should not do the following things, or doesn't it matter either way? Put more money into the National Health Service."																																							
GOVNHSSP	BES	"I am going to read out a list of things that some people believe a Government should do. For each one you can say whether you feel it is very important that it should be done, fairly important that it should be done, fairly important that it should not be done, very important that it should not be done, or it doesn't matter either way. Putting more money into the Health Service."																																							
GOVNHSSP	GALLUP	"I am going to read out a list of things that some people believe a Government should do. For each one you can say whether you feel it is very important that it should be done, fairly important that it should be done, fairly important that it should not be done, very important that it should not be done, or it doesn't matter either way. Putting more money into the Health Service."																																							
GOVRESP1	BES	Please tick one box for each statement below to show how much you agree or disagree with it. a. It is the government's responsibility to provide a job for everyone who wants one																																							
GOVRESP1	BSA	"On the whole, do you think it should or should not be the government's responsibility to: Provide a job for everyone who wants one?"																																							
GOVRESP2	BSA	"On the whole, do you think it should or should not be the government's responsibility to: Keep prices under control?"																																							
GOVRESP3	BSA	"On the whole, do you think it should or should not be the government's responsibility to: Provide health care for the sick?"																																							
GOVRESP4	BSA	"On the whole, do you think it should or should not be the government's responsibility to: Provide a decent standard of living for the old?"																																							
GOVRESP5	BSA	"On the whole, do you think it should or should not be the government's responsibility to: Provide industry with the help it needs to grow?"																																							
GOVRESP6	BSA	"On the whole, do you think it should or should not be the government's responsibility to: Provide a decent standard of living for the unemployed?"																																							
GOVRESP7	BSA	"On the whole, do you think it should or should not be the government's responsibility to: Reduce income differences between the rich and poor?"																																							
GOVRESP8	BSA	"On the whole, do you think it should or should not be the government's responsibility to: Give financial help to university students from low-income families?"																																							
GOVRESP9	BSA	"On the whole, do you think it should or should not be the government's responsibility to: Provide decent housing for those who can't afford it?"																																							
GOVROLE1	BSA	What do you think the government's role in each of these industries and services should be? Electricity.																																							
GOVROLE2	BSA	What do you think the government's role in each of these industries and services should be? Local public transport.																																							
GOVROLE3	BSA	What do you think the government's role in each of these industries and services should be? Gas.																																							
GOVROLE4	BSA	What do you think the government's role in each of these industries and services should be? Banking and insurance.																																							
GOVROLE5	BSA	What do you think the government's role in each of these industries and services should be? The car industry.																																							
GOVROLE6	BSA	What do you think the government's role in each of these industries and services should be? The telephone system.																																							
GOVROLE8	BSA	What do you think the government's role in each of these industries and services should be? The steel industry.																																							
GOVWASTE	YOUGOV	"Do you think that most of the money the government raises in taxes is well spent, or do you think a considerable proportion of it is wasted?"																																							
GRHSEFF2	BSA	"In general, do you think that a rise in the world's temperature caused by the 'greenhouse effect' is extremely dangerous, very dangerous, somewhat dangerous, not very, or not dangerous at all?"																																							
HEFEE	BSA	"I'm now going to ask you what you think about university or college students or their families paying towards the costs of their tuition, either while they are studying or after they have finished. Which of the views on this card comes closest to wha ... "																																							
HEFEENOW	BSA	"I'm now going to ask you what you think about university or college students paying towards the costs of their tuition - either while they are studying or after they have finished. Firstly, students and their families paying towards the costs of their tuition while they are studying. Which of the views on this card comes closest to what you think about that?"																																							
HEGRANT	BSA	"When British students go to university or college they generally get grants from the local authority. Do you think they should get grants as now, or loans which would have to be paid back when they start working?"																																							
HILOWTAX	BSA	"Do you think that people with high incomes should pay a larger share of their income in taxes than those with low incomes, the same share, or a smaller share?"																																							
HLPPRMED	BES	"Do you think the government should or should not do the following things, or doesn't it matter either way? Encourage the growth of private medicine"																																							
HLTHFREE	BHPS	Would you tell me which answer off the card comes closest to how you feel about the following statement: All health care should be available free of charge to everyone regardless of their ability to pay																																							
HLTHPRIO	BHPS	"Would you tell me which answer off the card comes closest to how you feel about the following statement: It is not fair that some people can get medical treatment before others, just because they can afford to pay for it"																																							
HOMOADCH	GALLUP	"In your opinion, should homosexuals be allowed to adopt children or not?"																																							
HOMOLAW	GALLUP	Do you think that homosexual relations between consenting adults should or should not be legal?																																							
HOMOP2FR	BES	"Has it gone too far or not gone far enough? Attempts to give equal opportunities to homosexuals, that is, gays and lesbians"																																							
HOMOP2FR	BSA	"Has it gone too far, or not far enough? Attempts to give equal opportunities to homosexuals - that is, gays and lesbians."																																							
HOMOSEX	BSA	What about sexual relations between two adults of the same sex? Please choose a phrase from this card																																							
IDCARDS	BSA	And please tick one box for each statement below to show how much you agree or disagree with it. d) Every adult in Britain should have to carry an identity card.																																							
IMBGECO	ESS	Would you say it is generally bad or good for [country]'s economy that people come to live here from other countries?																																							
IMMCULT	ESS	"And, using this card, would you say that [country]'s cultural life is generally undermined or enriched by people coming to live here from other countries?"																																							
IMMEXCLU	BSA	How much you agree or disagree with the following statement? Britain should take stronger measures to exclude illegal immigrants.																																							
IMMIGRT	BES	Do you think too many immigrants have been let into this country or not?																																							
IMMIGRT	BSA	Do you think that too many immigrants have been let into the country or not?																																							
IMMIGRT1	BSA	"There are different opinions about immigrants from other countries"" living In Britain. (By ""immigrants"" we mean people who come to live in Britain. ) How much do you agree or disagree with each of the following statements? Immigrants increase crime rates"																																							
IMMIGRT1	BES	Please tick one box on each line to show how much you agree or disagree with each of these statements. Immigrants increase crime rates.																																							
IMMIGRT2	BSA	How much do you agree or disagree with each of the following statements? Immigrants are generally good for Britain's economy.																																							
IMMIGRT2	BES	Please tick one box on each line to show how much you agree or disagree with each of these statements. Immigrants generally are good for Britain’s economy.																																							
IMMIGRT3	BSA	How much do you agree or disagree with each of the following statements? Immigrants take jobs away from people who were born in Britain.																																							
IMMIGRT4	BSA	How much do you agree or disagree with each of the following statements? Immigrants make Britain more open to new ideas and cultures.																																							
IMMIGRT5	GALLUP	Do you think that on the whole this country has benefited or been harmed through immigrants coming to settle here from the Commonwealth?																																							
IMMIGRT6	GALLUP	"Do you think that coloured people from the Commonwealth should have the right of completely free entry to Britain, should there be restrictions on entry, or should they be kept out completely?"																																							
IMMBACK	BES	"I am going to read out a list of things that some people believe a Government should do. For each one you can say whether you feel it is very important that it should be done, fairly important that it should be done, fairly important that it should not be done, very important that it should not be done, or it doesn't matter either way. Sending coloured immigrants back to their own country. "																																							
IMMBACK	GALLUP	"I am going to read out a list of things that some people believe a Government should do. For each one you can say whether you feel it is very important that it should be done, fairly important that it should be done, fairly important that it should not be done, very important that it should not be done, or it doesn't matter either way. Sending coloured immigrants back to their own country. "																																							
IMMJOBPR	WWS	"Do you agree or disagree with the following statements? When jobs are scarce, employers should give priority to [Nation] people over immigrants?"																																							
IMMMANY	YOUGOV	Do you agree or disagree with the following statement? Too many immigrants are coming to Britain.																																							
IMMMANY2	MORI	Agree/disagree with statement: There are too many immigrants in Britain.																																							
IMMNUMB	BSA	"Do you think the number of immigrants to Britain nowadays should be increased a lot, increased a little, remain as it is, reduced a little, or reduced a lot? "																																							
IMMRELAT	GALLUP	Do you think that the dependents and relatives of coloured immigrants already here should or should not be allowed into this country? 																																							
IMWBCNT	ESS	Is [country] made a worse or a better place to live by people coming to live here from other countries?																																							
INCDIFCC	BSA	What is your opinion of the following statement? It is the responsibility of the government to reduce the differences in income between people with high incomes and those with low incomes.																																							
INCDIFFS	BSA	Please show how much you agree or disagree with each statement. Differences in income in Britain are too large.																																							
INCLMTS	BHPS	People have different views about the way governments work. I'm going to read out some things people have said about governments in Britain and I'd like you to tell me which answer off the card comes closest to how you feel about each statement. The government should place an upper limit on the amount of money that any one person can make.																																							
